date,repo,views,views_unique,clones,clones_unique
2026-01-23,osa-data,28,3,50,32
2026-01-23,osa-website,0,0,0,0
2026-01-24,osa-data,2,2,6,6
2026-01-24,osa-website,0,0,0,0
2026-01-25,osa-data,1,1,2,2
2026-01-25,osa-website,0,0,0,0
2026-01-26,osa-data,1,1,2,2
2026-01-26,osa-website,0,0,0,0
2026-01-27,osa-data,1,1,1,1
2026-01-27,osa-website,0,0,0,0
2026-01-28,osa-data,0,0,0,0
2026-01-28,osa-website,0,0,0,0
2026-01-29,osa-data,0,0,1,1
2026-01-29,osa-website,0,0,0,0
2026-01-30,osa-data,1,1,0,0
2026-01-30,osa-website,0,0,0,0
2026-01-31,osa-data,0,0,1,1
2026-01-31,osa-website,0,0,0,0
2026-02-01,osa-data,0,0,0,0
2026-02-01,osa-website,0,0,0,0
2026-02-02,osa-data,0,0,1,1
2026-02-02,osa-website,0,0,0,0
2026-02-03,osa-data,0,0,1,1
2026-02-03,osa-website,0,0,0,0
2026-02-04,osa-data,0,0,0,0
2026-02-04,osa-website,0,0,0,0
2026-02-05,osa-data,13,3,62,18
2026-02-05,osa-website,26,1,28,1
2026-02-06,osa-data,28,2,242,63
2026-02-06,osa-website,7,1,77,2
2026-02-07,osa-data,3,1,125,26
2026-02-07,osa-website,2,1,137,1
2026-02-08,osa-data,65,7,37,9
2026-02-08,osa-website,5,1,38,1
2026-02-09,osa-data,137,40,149,44
2026-02-09,osa-website,15,1,40,2
2026-02-10,osa-data,96,23,131,36
2026-02-10,osa-website,10,2,89,1
2026-02-11,osa-data,85,20,85,29
2026-02-11,osa-website,7,2,32,1
2026-02-12,osa-data,81,17,95,23
2026-02-12,osa-website,1,1,42,2
2026-02-13,osa-data,19,7,246,60
2026-02-13,osa-website,0,0,37,2
2026-02-14,osa-data,38,9,173,49
2026-02-14,osa-website,0,0,62,1
2026-02-15,osa-data,16,6,150,31
2026-02-15,osa-website,5,1,75,1
2026-02-16,osa-data,12,5,239,46
2026-02-16,osa-website,0,0,41,1
2026-02-17,osa-data,17,8,62,17
2026-02-17,osa-website,0,0,6,1
2026-02-18,osa-data,7,6,71,24
2026-02-18,osa-website,0,0,11,1
